STATISTIC,Statistic,TLIST(A1),Year,Age Code,Age of Mother at Maternity,PLC Code,Previous Liveborn Children,UNIT,VALUE
VSA36C01,Total Births,2008,2008,18,18 years,8,6,Number,
VSA36C01,Total Births,2008,2008,18,18 years,10,7,Number,
VSA36C01,Total Births,2008,2008,18,18 years,11,8,Number,
VSA36C01,Total Births,2008,2008,18,18 years,12,9,Number,
VSA36C01,Total Births,2008,2008,18,18 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,18,18 years,99,Not stated,Number,2
VSA36C01,Total Births,2008,2008,19,19 years,26,Total Per Age Group,Number,1112
VSA36C01,Total Births,2008,2008,19,19 years,1,0,Number,977
VSA36C01,Total Births,2008,2008,19,19 years,2,1,Number,119
VSA36C01,Total Births,2008,2008,19,19 years,3,2,Number,8
VSA36C01,Total Births,2008,2008,19,19 years,4,3,Number,3
VSA36C01,Total Births,2008,2008,19,19 years,5,4,Number,
VSA36C01,Total Births,2008,2008,19,19 years,6,5,Number,
VSA36C01,Total Births,2008,2008,19,19 years,8,6,Number,
VSA36C01,Total Births,2008,2008,19,19 years,10,7,Number,
VSA36C01,Total Births,2008,2008,19,19 years,11,8,Number,
VSA36C01,Total Births,2008,2008,19,19 years,12,9,Number,
VSA36C01,Total Births,2008,2008,19,19 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,19,19 years,99,Not stated,Number,5
VSA36C01,Total Births,2008,2008,20,20 years,26,Total Per Age Group,Number,1357
VSA36C01,Total Births,2008,2008,20,20 years,1,0,Number,1081
VSA36C01,Total Births,2008,2008,20,20 years,2,1,Number,232
VSA36C01,Total Births,2008,2008,20,20 years,3,2,Number,36
VSA36C01,Total Births,2008,2008,20,20 years,4,3,Number,5
VSA36C01,Total Births,2008,2008,20,20 years,5,4,Number,
VSA36C01,Total Births,2008,2008,20,20 years,6,5,Number,
VSA36C01,Total Births,2008,2008,20,20 years,8,6,Number,
VSA36C01,Total Births,2008,2008,20,20 years,10,7,Number,
VSA36C01,Total Births,2008,2008,20,20 years,11,8,Number,
VSA36C01,Total Births,2008,2008,20,20 years,12,9,Number,
VSA36C01,Total Births,2008,2008,20,20 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,20,20 years,99,Not stated,Number,3
VSA36C01,Total Births,2008,2008,21,21 years,26,Total Per Age Group,Number,1674
VSA36C01,Total Births,2008,2008,21,21 years,1,0,Number,1242
VSA36C01,Total Births,2008,2008,21,21 years,2,1,Number,345
VSA36C01,Total Births,2008,2008,21,21 years,3,2,Number,68
VSA36C01,Total Births,2008,2008,21,21 years,4,3,Number,11
VSA36C01,Total Births,2008,2008,21,21 years,5,4,Number,1
VSA36C01,Total Births,2008,2008,21,21 years,6,5,Number,
VSA36C01,Total Births,2008,2008,21,21 years,8,6,Number,
VSA36C01,Total Births,2008,2008,21,21 years,10,7,Number,
VSA36C01,Total Births,2008,2008,21,21 years,11,8,Number,
VSA36C01,Total Births,2008,2008,21,21 years,12,9,Number,
VSA36C01,Total Births,2008,2008,21,21 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,21,21 years,99,Not stated,Number,7
VSA36C01,Total Births,2008,2008,22,22 years,26,Total Per Age Group,Number,1832
VSA36C01,Total Births,2008,2008,22,22 years,1,0,Number,1249
VSA36C01,Total Births,2008,2008,22,22 years,2,1,Number,419
VSA36C01,Total Births,2008,2008,22,22 years,3,2,Number,125
VSA36C01,Total Births,2008,2008,22,22 years,4,3,Number,27
VSA36C01,Total Births,2008,2008,22,22 years,5,4,Number,4
VSA36C01,Total Births,2008,2008,22,22 years,6,5,Number,2
VSA36C01,Total Births,2008,2008,22,22 years,8,6,Number,
VSA36C01,Total Births,2008,2008,22,22 years,10,7,Number,
VSA36C01,Total Births,2008,2008,22,22 years,11,8,Number,
VSA36C01,Total Births,2008,2008,22,22 years,12,9,Number,
VSA36C01,Total Births,2008,2008,22,22 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,22,22 years,99,Not stated,Number,6
VSA36C01,Total Births,2008,2008,23,23 years,26,Total Per Age Group,Number,2075
VSA36C01,Total Births,2008,2008,23,23 years,1,0,Number,1250
VSA36C01,Total Births,2008,2008,23,23 years,2,1,Number,607
VSA36C01,Total Births,2008,2008,23,23 years,3,2,Number,168
VSA36C01,Total Births,2008,2008,23,23 years,4,3,Number,24
VSA36C01,Total Births,2008,2008,23,23 years,5,4,Number,8
VSA36C01,Total Births,2008,2008,23,23 years,6,5,Number,1
VSA36C01,Total Births,2008,2008,23,23 years,8,6,Number,1
VSA36C01,Total Births,2008,2008,23,23 years,10,7,Number,
VSA36C01,Total Births,2008,2008,23,23 years,11,8,Number,
VSA36C01,Total Births,2008,2008,23,23 years,12,9,Number,
VSA36C01,Total Births,2008,2008,23,23 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,23,23 years,99,Not stated,Number,16
VSA36C01,Total Births,2008,2008,24,24 years,26,Total Per Age Group,Number,2345
VSA36C01,Total Births,2008,2008,24,24 years,1,0,Number,1319
VSA36C01,Total Births,2008,2008,24,24 years,2,1,Number,709
VSA36C01,Total Births,2008,2008,24,24 years,3,2,Number,228
VSA36C01,Total Births,2008,2008,24,24 years,4,3,Number,59
VSA36C01,Total Births,2008,2008,24,24 years,5,4,Number,14
VSA36C01,Total Births,2008,2008,24,24 years,6,5,Number,4
VSA36C01,Total Births,2008,2008,24,24 years,8,6,Number,1
VSA36C01,Total Births,2008,2008,24,24 years,10,7,Number,
VSA36C01,Total Births,2008,2008,24,24 years,11,8,Number,
VSA36C01,Total Births,2008,2008,24,24 years,12,9,Number,
VSA36C01,Total Births,2008,2008,24,24 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,24,24 years,99,Not stated,Number,11
VSA36C01,Total Births,2008,2008,25,25 years,26,Total Per Age Group,Number,2671
VSA36C01,Total Births,2008,2008,25,25 years,1,0,Number,1445
VSA36C01,Total Births,2008,2008,25,25 years,2,1,Number,862
VSA36C01,Total Births,2008,2008,25,25 years,3,2,Number,249
VSA36C01,Total Births,2008,2008,25,25 years,4,3,Number,69
VSA36C01,Total Births,2008,2008,25,25 years,5,4,Number,27
VSA36C01,Total Births,2008,2008,25,25 years,6,5,Number,3
VSA36C01,Total Births,2008,2008,25,25 years,8,6,Number,
VSA36C01,Total Births,2008,2008,25,25 years,10,7,Number,1
VSA36C01,Total Births,2008,2008,25,25 years,11,8,Number,
VSA36C01,Total Births,2008,2008,25,25 years,12,9,Number,
VSA36C01,Total Births,2008,2008,25,25 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,25,25 years,99,Not stated,Number,15
VSA36C01,Total Births,2008,2008,26,26 years,26,Total Per Age Group,Number,3152
VSA36C01,Total Births,2008,2008,26,26 years,1,0,Number,1653
VSA36C01,Total Births,2008,2008,26,26 years,2,1,Number,995
VSA36C01,Total Births,2008,2008,26,26 years,3,2,Number,343
VSA36C01,Total Births,2008,2008,26,26 years,4,3,Number,108
VSA36C01,Total Births,2008,2008,26,26 years,5,4,Number,29
VSA36C01,Total Births,2008,2008,26,26 years,6,5,Number,1
VSA36C01,Total Births,2008,2008,26,26 years,8,6,Number,4
VSA36C01,Total Births,2008,2008,26,26 years,10,7,Number,
VSA36C01,Total Births,2008,2008,26,26 years,11,8,Number,
VSA36C01,Total Births,2008,2008,26,26 years,12,9,Number,
VSA36C01,Total Births,2008,2008,26,26 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,26,26 years,99,Not stated,Number,19
VSA36C01,Total Births,2008,2008,27,27 years,26,Total Per Age Group,Number,3555
VSA36C01,Total Births,2008,2008,27,27 years,1,0,Number,1791
VSA36C01,Total Births,2008,2008,27,27 years,2,1,Number,1079
VSA36C01,Total Births,2008,2008,27,27 years,3,2,Number,459
VSA36C01,Total Births,2008,2008,27,27 years,4,3,Number,138
VSA36C01,Total Births,2008,2008,27,27 years,5,4,Number,48
VSA36C01,Total Births,2008,2008,27,27 years,6,5,Number,17
VSA36C01,Total Births,2008,2008,27,27 years,8,6,Number,4
VSA36C01,Total Births,2008,2008,27,27 years,10,7,Number,
VSA36C01,Total Births,2008,2008,27,27 years,11,8,Number,
VSA36C01,Total Births,2008,2008,27,27 years,12,9,Number,
VSA36C01,Total Births,2008,2008,27,27 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,27,27 years,99,Not stated,Number,19
VSA36C01,Total Births,2008,2008,28,28 years,26,Total Per Age Group,Number,4072
VSA36C01,Total Births,2008,2008,28,28 years,1,0,Number,1982
VSA36C01,Total Births,2008,2008,28,28 years,2,1,Number,1306
VSA36C01,Total Births,2008,2008,28,28 years,3,2,Number,471
VSA36C01,Total Births,2008,2008,28,28 years,4,3,Number,199
VSA36C01,Total Births,2008,2008,28,28 years,5,4,Number,68
VSA36C01,Total Births,2008,2008,28,28 years,6,5,Number,13
VSA36C01,Total Births,2008,2008,28,28 years,8,6,Number,6
VSA36C01,Total Births,2008,2008,28,28 years,10,7,Number,1
VSA36C01,Total Births,2008,2008,28,28 years,11,8,Number,
VSA36C01,Total Births,2008,2008,28,28 years,12,9,Number,
VSA36C01,Total Births,2008,2008,28,28 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,28,28 years,99,Not stated,Number,26
VSA36C01,Total Births,2008,2008,29,29 years,26,Total Per Age Group,Number,4426
VSA36C01,Total Births,2008,2008,29,29 years,1,0,Number,2104
VSA36C01,Total Births,2008,2008,29,29 years,2,1,Number,1444
VSA36C01,Total Births,2008,2008,29,29 years,3,2,Number,576
VSA36C01,Total Births,2008,2008,29,29 years,4,3,Number,175
VSA36C01,Total Births,2008,2008,29,29 years,5,4,Number,65
VSA36C01,Total Births,2008,2008,29,29 years,6,5,Number,26
VSA36C01,Total Births,2008,2008,29,29 years,8,6,Number,9
VSA36C01,Total Births,2008,2008,29,29 years,10,7,Number,2
VSA36C01,Total Births,2008,2008,29,29 years,11,8,Number,1
VSA36C01,Total Births,2008,2008,29,29 years,12,9,Number,
VSA36C01,Total Births,2008,2008,29,29 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,29,29 years,99,Not stated,Number,24
VSA36C01,Total Births,2008,2008,30,30 years,26,Total Per Age Group,Number,4892
VSA36C01,Total Births,2008,2008,30,30 years,1,0,Number,2211
VSA36C01,Total Births,2008,2008,30,30 years,2,1,Number,1675
VSA36C01,Total Births,2008,2008,30,30 years,3,2,Number,622
VSA36C01,Total Births,2008,2008,30,30 years,4,3,Number,248
VSA36C01,Total Births,2008,2008,30,30 years,5,4,Number,70
VSA36C01,Total Births,2008,2008,30,30 years,6,5,Number,22
VSA36C01,Total Births,2008,2008,30,30 years,8,6,Number,13
VSA36C01,Total Births,2008,2008,30,30 years,10,7,Number,5
VSA36C01,Total Births,2008,2008,30,30 years,11,8,Number,
VSA36C01,Total Births,2008,2008,30,30 years,12,9,Number,1
VSA36C01,Total Births,2008,2008,30,30 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,30,30 years,99,Not stated,Number,25
VSA36C01,Total Births,2008,2008,31,31 years,26,Total Per Age Group,Number,5101
VSA36C01,Total Births,2008,2008,31,31 years,1,0,Number,2209
VSA36C01,Total Births,2008,2008,31,31 years,2,1,Number,1700
VSA36C01,Total Births,2008,2008,31,31 years,3,2,Number,767
VSA36C01,Total Births,2008,2008,31,31 years,4,3,Number,257
VSA36C01,Total Births,2008,2008,31,31 years,5,4,Number,95
VSA36C01,Total Births,2008,2008,31,31 years,6,5,Number,24
VSA36C01,Total Births,2008,2008,31,31 years,8,6,Number,11
VSA36C01,Total Births,2008,2008,31,31 years,10,7,Number,3
VSA36C01,Total Births,2008,2008,31,31 years,11,8,Number,
VSA36C01,Total Births,2008,2008,31,31 years,12,9,Number,
VSA36C01,Total Births,2008,2008,31,31 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,31,31 years,99,Not stated,Number,35
VSA36C01,Total Births,2008,2008,32,32 years,26,Total Per Age Group,Number,5272
VSA36C01,Total Births,2008,2008,32,32 years,1,0,Number,2056
VSA36C01,Total Births,2008,2008,32,32 years,2,1,Number,1860
VSA36C01,Total Births,2008,2008,32,32 years,3,2,Number,872
VSA36C01,Total Births,2008,2008,32,32 years,4,3,Number,303
VSA36C01,Total Births,2008,2008,32,32 years,5,4,Number,73
VSA36C01,Total Births,2008,2008,32,32 years,6,5,Number,41
VSA36C01,Total Births,2008,2008,32,32 years,8,6,Number,16
VSA36C01,Total Births,2008,2008,32,32 years,10,7,Number,10
VSA36C01,Total Births,2008,2008,32,32 years,11,8,Number,4
VSA36C01,Total Births,2008,2008,32,32 years,12,9,Number,
VSA36C01,Total Births,2008,2008,32,32 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,32,32 years,99,Not stated,Number,37
VSA36C01,Total Births,2008,2008,33,33 years,26,Total Per Age Group,Number,5181
VSA36C01,Total Births,2008,2008,33,33 years,1,0,Number,1734
VSA36C01,Total Births,2008,2008,33,33 years,2,1,Number,1945
VSA36C01,Total Births,2008,2008,33,33 years,3,2,Number,1018
VSA36C01,Total Births,2008,2008,33,33 years,4,3,Number,292
VSA36C01,Total Births,2008,2008,33,33 years,5,4,Number,90
VSA36C01,Total Births,2008,2008,33,33 years,6,5,Number,29
VSA36C01,Total Births,2008,2008,33,33 years,8,6,Number,14
VSA36C01,Total Births,2008,2008,33,33 years,10,7,Number,11
VSA36C01,Total Births,2008,2008,33,33 years,11,8,Number,1
VSA36C01,Total Births,2008,2008,33,33 years,12,9,Number,2
VSA36C01,Total Births,2008,2008,33,33 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,33,33 years,99,Not stated,Number,45
VSA36C01,Total Births,2008,2008,34,34 years,26,Total Per Age Group,Number,4985
VSA36C01,Total Births,2008,2008,34,34 years,1,0,Number,1476
VSA36C01,Total Births,2008,2008,34,34 years,2,1,Number,1897
VSA36C01,Total Births,2008,2008,34,34 years,3,2,Number,1088
VSA36C01,Total Births,2008,2008,34,34 years,4,3,Number,343
VSA36C01,Total Births,2008,2008,34,34 years,5,4,Number,94
VSA36C01,Total Births,2008,2008,34,34 years,6,5,Number,30
VSA36C01,Total Births,2008,2008,34,34 years,8,6,Number,14
VSA36C01,Total Births,2008,2008,34,34 years,10,7,Number,8
VSA36C01,Total Births,2008,2008,34,34 years,11,8,Number,2
VSA36C01,Total Births,2008,2008,34,34 years,12,9,Number,2
VSA36C01,Total Births,2008,2008,34,34 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,34,34 years,99,Not stated,Number,31
VSA36C01,Total Births,2008,2008,35,35 years,26,Total Per Age Group,Number,4694
VSA36C01,Total Births,2008,2008,35,35 years,1,0,Number,1233
VSA36C01,Total Births,2008,2008,35,35 years,2,1,Number,1655
VSA36C01,Total Births,2008,2008,35,35 years,3,2,Number,1172
VSA36C01,Total Births,2008,2008,35,35 years,4,3,Number,424
VSA36C01,Total Births,2008,2008,35,35 years,5,4,Number,111
VSA36C01,Total Births,2008,2008,35,35 years,6,5,Number,29
VSA36C01,Total Births,2008,2008,35,35 years,8,6,Number,11
VSA36C01,Total Births,2008,2008,35,35 years,10,7,Number,11
VSA36C01,Total Births,2008,2008,35,35 years,11,8,Number,6
VSA36C01,Total Births,2008,2008,35,35 years,12,9,Number,1
VSA36C01,Total Births,2008,2008,35,35 years,15,10 or more,Number,3
VSA36C01,Total Births,2008,2008,35,35 years,99,Not stated,Number,38
VSA36C01,Total Births,2008,2008,36,36 years,26,Total Per Age Group,Number,4017
VSA36C01,Total Births,2008,2008,36,36 years,1,0,Number,937
VSA36C01,Total Births,2008,2008,36,36 years,2,1,Number,1375
VSA36C01,Total Births,2008,2008,36,36 years,3,2,Number,1035
VSA36C01,Total Births,2008,2008,36,36 years,4,3,Number,426
VSA36C01,Total Births,2008,2008,36,36 years,5,4,Number,133
VSA36C01,Total Births,2008,2008,36,36 years,6,5,Number,44
VSA36C01,Total Births,2008,2008,36,36 years,8,6,Number,16
VSA36C01,Total Births,2008,2008,36,36 years,10,7,Number,12
VSA36C01,Total Births,2008,2008,36,36 years,11,8,Number,6
VSA36C01,Total Births,2008,2008,36,36 years,12,9,Number,2
VSA36C01,Total Births,2008,2008,36,36 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,36,36 years,99,Not stated,Number,31
VSA36C01,Total Births,2008,2008,37,37 years,26,Total Per Age Group,Number,3458
VSA36C01,Total Births,2008,2008,37,37 years,1,0,Number,726
VSA36C01,Total Births,2008,2008,37,37 years,2,1,Number,1088
VSA36C01,Total Births,2008,2008,37,37 years,3,2,Number,1000
VSA36C01,Total Births,2008,2008,37,37 years,4,3,Number,423
VSA36C01,Total Births,2008,2008,37,37 years,5,4,Number,119
VSA36C01,Total Births,2008,2008,37,37 years,6,5,Number,34
VSA36C01,Total Births,2008,2008,37,37 years,8,6,Number,17
VSA36C01,Total Births,2008,2008,37,37 years,10,7,Number,12
VSA36C01,Total Births,2008,2008,37,37 years,11,8,Number,5
VSA36C01,Total Births,2008,2008,37,37 years,12,9,Number,
VSA36C01,Total Births,2008,2008,37,37 years,15,10 or more,Number,4
VSA36C01,Total Births,2008,2008,37,37 years,99,Not stated,Number,30
VSA36C01,Total Births,2008,2008,38,38 years,26,Total Per Age Group,Number,2669
VSA36C01,Total Births,2008,2008,38,38 years,1,0,Number,502
VSA36C01,Total Births,2008,2008,38,38 years,2,1,Number,845
VSA36C01,Total Births,2008,2008,38,38 years,3,2,Number,776
VSA36C01,Total Births,2008,2008,38,38 years,4,3,Number,339
VSA36C01,Total Births,2008,2008,38,38 years,5,4,Number,117
VSA36C01,Total Births,2008,2008,38,38 years,6,5,Number,37
VSA36C01,Total Births,2008,2008,38,38 years,8,6,Number,20
VSA36C01,Total Births,2008,2008,38,38 years,10,7,Number,10
VSA36C01,Total Births,2008,2008,38,38 years,11,8,Number,8
VSA36C01,Total Births,2008,2008,38,38 years,12,9,Number,1
VSA36C01,Total Births,2008,2008,38,38 years,15,10 or more,Number,4
VSA36C01,Total Births,2008,2008,38,38 years,99,Not stated,Number,10
VSA36C01,Total Births,2008,2008,39,39 years,26,Total Per Age Group,Number,2075
VSA36C01,Total Births,2008,2008,39,39 years,1,0,Number,393
VSA36C01,Total Births,2008,2008,39,39 years,2,1,Number,588
VSA36C01,Total Births,2008,2008,39,39 years,3,2,Number,576
VSA36C01,Total Births,2008,2008,39,39 years,4,3,Number,329
VSA36C01,Total Births,2008,2008,39,39 years,5,4,Number,115
VSA36C01,Total Births,2008,2008,39,39 years,6,5,Number,32
VSA36C01,Total Births,2008,2008,39,39 years,8,6,Number,11
VSA36C01,Total Births,2008,2008,39,39 years,10,7,Number,5
VSA36C01,Total Births,2008,2008,39,39 years,11,8,Number,7
VSA36C01,Total Births,2008,2008,39,39 years,12,9,Number,1
VSA36C01,Total Births,2008,2008,39,39 years,15,10 or more,Number,1
VSA36C01,Total Births,2008,2008,39,39 years,99,Not stated,Number,17
VSA36C01,Total Births,2008,2008,40,40 years,26,Total Per Age Group,Number,1318
VSA36C01,Total Births,2008,2008,40,40 years,1,0,Number,254
VSA36C01,Total Births,2008,2008,40,40 years,2,1,Number,368
VSA36C01,Total Births,2008,2008,40,40 years,3,2,Number,339
VSA36C01,Total Births,2008,2008,40,40 years,4,3,Number,210
VSA36C01,Total Births,2008,2008,40,40 years,5,4,Number,88
VSA36C01,Total Births,2008,2008,40,40 years,6,5,Number,27
VSA36C01,Total Births,2008,2008,40,40 years,8,6,Number,9
VSA36C01,Total Births,2008,2008,40,40 years,10,7,Number,6
VSA36C01,Total Births,2008,2008,40,40 years,11,8,Number,4
VSA36C01,Total Births,2008,2008,40,40 years,12,9,Number,2
VSA36C01,Total Births,2008,2008,40,40 years,15,10 or more,Number,3
VSA36C01,Total Births,2008,2008,40,40 years,99,Not stated,Number,8
VSA36C01,Total Births,2008,2008,41,41 years,26,Total Per Age Group,Number,850
VSA36C01,Total Births,2008,2008,41,41 years,1,0,Number,173
VSA36C01,Total Births,2008,2008,41,41 years,2,1,Number,227
VSA36C01,Total Births,2008,2008,41,41 years,3,2,Number,195
VSA36C01,Total Births,2008,2008,41,41 years,4,3,Number,139
VSA36C01,Total Births,2008,2008,41,41 years,5,4,Number,65
VSA36C01,Total Births,2008,2008,41,41 years,6,5,Number,25
VSA36C01,Total Births,2008,2008,41,41 years,8,6,Number,13
VSA36C01,Total Births,2008,2008,41,41 years,10,7,Number,3
VSA36C01,Total Births,2008,2008,41,41 years,11,8,Number,1
VSA36C01,Total Births,2008,2008,41,41 years,12,9,Number,
VSA36C01,Total Births,2008,2008,41,41 years,15,10 or more,Number,1
VSA36C01,Total Births,2008,2008,41,41 years,99,Not stated,Number,8
VSA36C01,Total Births,2008,2008,42,42 years,26,Total Per Age Group,Number,507
VSA36C01,Total Births,2008,2008,42,42 years,1,0,Number,98
VSA36C01,Total Births,2008,2008,42,42 years,2,1,Number,150
VSA36C01,Total Births,2008,2008,42,42 years,3,2,Number,100
VSA36C01,Total Births,2008,2008,42,42 years,4,3,Number,83
VSA36C01,Total Births,2008,2008,42,42 years,5,4,Number,34
VSA36C01,Total Births,2008,2008,42,42 years,6,5,Number,23
VSA36C01,Total Births,2008,2008,42,42 years,8,6,Number,12
VSA36C01,Total Births,2008,2008,42,42 years,10,7,Number,1
VSA36C01,Total Births,2008,2008,42,42 years,11,8,Number,2
VSA36C01,Total Births,2008,2008,42,42 years,12,9,Number,2
VSA36C01,Total Births,2008,2008,42,42 years,15,10 or more,Number,1
VSA36C01,Total Births,2008,2008,42,42 years,99,Not stated,Number,1
VSA36C01,Total Births,2008,2008,43,43 years,26,Total Per Age Group,Number,266
VSA36C01,Total Births,2008,2008,43,43 years,1,0,Number,54
VSA36C01,Total Births,2008,2008,43,43 years,2,1,Number,77
VSA36C01,Total Births,2008,2008,43,43 years,3,2,Number,48
VSA36C01,Total Births,2008,2008,43,43 years,4,3,Number,39
VSA36C01,Total Births,2008,2008,43,43 years,5,4,Number,22
VSA36C01,Total Births,2008,2008,43,43 years,6,5,Number,8
VSA36C01,Total Births,2008,2008,43,43 years,8,6,Number,6
VSA36C01,Total Births,2008,2008,43,43 years,10,7,Number,5
VSA36C01,Total Births,2008,2008,43,43 years,11,8,Number,3
VSA36C01,Total Births,2008,2008,43,43 years,12,9,Number,1
VSA36C01,Total Births,2008,2008,43,43 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,43,43 years,99,Not stated,Number,3
VSA36C01,Total Births,2008,2008,44,44 years,26,Total Per Age Group,Number,136
VSA36C01,Total Births,2008,2008,44,44 years,1,0,Number,32
VSA36C01,Total Births,2008,2008,44,44 years,2,1,Number,42
VSA36C01,Total Births,2008,2008,44,44 years,3,2,Number,17
VSA36C01,Total Births,2008,2008,44,44 years,4,3,Number,18
VSA36C01,Total Births,2008,2008,44,44 years,5,4,Number,12
VSA36C01,Total Births,2008,2008,44,44 years,6,5,Number,7
VSA36C01,Total Births,2008,2008,44,44 years,8,6,Number,4
VSA36C01,Total Births,2008,2008,44,44 years,10,7,Number,1
VSA36C01,Total Births,2008,2008,44,44 years,11,8,Number,
VSA36C01,Total Births,2008,2008,44,44 years,12,9,Number,1
VSA36C01,Total Births,2008,2008,44,44 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,44,44 years,99,Not stated,Number,2
VSA36C01,Total Births,2008,2008,290,15 years and under,26,Total Per Age Group,Number,44
VSA36C01,Total Births,2008,2008,290,15 years and under,1,0,Number,42
VSA36C01,Total Births,2008,2008,290,15 years and under,2,1,Number,2
VSA36C01,Total Births,2008,2008,290,15 years and under,3,2,Number,
VSA36C01,Total Births,2008,2008,290,15 years and under,4,3,Number,
VSA36C01,Total Births,2008,2008,290,15 years and under,5,4,Number,
VSA36C01,Total Births,2008,2008,290,15 years and under,6,5,Number,
VSA36C01,Total Births,2008,2008,290,15 years and under,8,6,Number,
VSA36C01,Total Births,2008,2008,290,15 years and under,10,7,Number,
VSA36C01,Total Births,2008,2008,290,15 years and under,11,8,Number,
VSA36C01,Total Births,2008,2008,290,15 years and under,12,9,Number,
VSA36C01,Total Births,2008,2008,290,15 years and under,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,290,15 years and under,99,Not stated,Number,
VSA36C01,Total Births,2008,2008,355,Under 20 years,26,Total Per Age Group,Number,2402
VSA36C01,Total Births,2008,2008,355,Under 20 years,1,0,Number,2165
VSA36C01,Total Births,2008,2008,355,Under 20 years,2,1,Number,212
VSA36C01,Total Births,2008,2008,355,Under 20 years,3,2,Number,14
VSA36C01,Total Births,2008,2008,355,Under 20 years,4,3,Number,3
VSA36C01,Total Births,2008,2008,355,Under 20 years,5,4,Number,
VSA36C01,Total Births,2008,2008,355,Under 20 years,6,5,Number,
VSA36C01,Total Births,2008,2008,355,Under 20 years,8,6,Number,
VSA36C01,Total Births,2008,2008,355,Under 20 years,10,7,Number,
VSA36C01,Total Births,2008,2008,355,Under 20 years,11,8,Number,
VSA36C01,Total Births,2008,2008,355,Under 20 years,12,9,Number,
VSA36C01,Total Births,2008,2008,355,Under 20 years,15,10 or more,Number,
VSA36C01,Total Births,2008,2008,355,Under 20 years,99,Not stated,Number,8
VSA36C01,Total Births,2008,2008,365,20 - 24 years,26,Total Per Age Group,Number,9283
VSA36C01,Total Births,2008,2008,365,20 - 24 years,1,0,Number,6141
VSA36C01,Total Births,2008,2008,365,20 - 24 years,2,1,Number,2312
